window_index,time_s,channel,roi,method,channel_status,observed_fraction,roi_quality,signal_std,candidate_rank,candidate_bpm,relative_power,peak_concentration,prominence_ratio,candidate_weight,motion_overlap,motion_weight,selected_consensus,output_accepted,waveform_weight,motion_available,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability,motion_spectral_coverage,motion_evidence_status,branch,original_channel
3,7.999992,left_cheek_baseline_logpos,left_cheek,baseline_logpos,usable,1.0,1.0,0.7247996547901071,1,162.0,1.0,0.2528002357649619,1.0,0.5027924380546728,0.5076780286787734,0.8730804928303066,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logpos
3,7.999992,left_cheek_baseline_logpos,left_cheek,baseline_logpos,usable,1.0,1.0,0.7247996547901071,2,106.0,0.6343920197480026,0.1733873845276705,0.587165526207554,0.33165580511930204,0.09171474987963565,0.977071312530091,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logpos
3,7.999992,left_cheek_baseline_logchrom,left_cheek,baseline_logchrom,usable,1.0,1.0,0.9564428482745351,1,162.0,1.0,0.30820578423720496,1.0,0.5551628447916926,0.5076780286787734,0.8730804928303066,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logchrom
3,7.999992,left_cheek_baseline_logchrom,left_cheek,baseline_logchrom,usable,1.0,1.0,0.9564428482745351,2,95.0,0.4454808719246608,0.15152483513554443,0.4343661905326613,0.2598103455877437,0.42453254234901694,0.8938668644127458,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,left_cheek_logchrom
3,7.999992,right_cheek_baseline_logpos,right_cheek,baseline_logpos,usable,1.0,1.0,0.6336641593826978,1,88.0,1.0,0.20784352679058146,1.0,0.4558985926613302,0.3704493234154518,0.9073876691461371,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logpos
3,7.999992,right_cheek_baseline_logpos,right_cheek,baseline_logpos,usable,1.0,1.0,0.6336641593826978,2,169.0,0.753545040661353,0.17031299938890962,0.7520631200282263,0.35824365458396173,0.5854219451965463,0.8536445137008635,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logpos
3,7.999992,right_cheek_baseline_logchrom,right_cheek,baseline_logchrom,usable,1.0,1.0,0.8670401854817568,1,88.0,1.0,0.2657820504285062,1.0,0.5155405419833694,0.3704493234154518,0.9073876691461371,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,right_cheek_logchrom
3,7.999992,forehead_tracked_logpos,forehead,tracked_logpos,usable,1.0,1.0,0.8024883960003546,1,58.0,1.0,0.3315485632179714,1.0,0.5758025383913928,0.09877026611154922,0.9753074334721127,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logpos
3,7.999992,forehead_tracked_logpos,forehead,tracked_logpos,usable,1.0,1.0,0.8024883960003546,2,108.0,0.567901955419519,0.15742823999026861,0.5573978608361219,0.2990046911483612,0.0819505915949802,0.979512352101255,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logpos
3,7.999992,forehead_tracked_logpos,forehead,tracked_logpos,usable,1.0,1.0,0.8024883960003546,3,99.0,0.5310459091985348,0.1505642836936425,0.13366527574543713,0.2827658871344217,0.36630231770033855,0.9084244205749153,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logpos
