case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,chrom,guarded_fusion_gap10,guarded_fusion_gap15,-1,38,0.0,0.0,0.0
data1,fusion,trimmed_gap10,trimmed_gap15,0,36,7.749356711883593e-14,8.348877145181177e-14,0.0
data1,fusion,trimmed_gap10,bounded_tracking_gap10,0,36,0.20164638626432452,0.04441103534278534,50.0
data1,fusion,trimmed_gap10,bounded_tracking_gap15,0,36,0.20164638626434503,0.044411035342827976,50.0
data1,fusion,trimmed_gap10,guarded_fusion_gap10,0,36,-0.03817444194870075,1.305622276959184e-13,27.77777777777778
data1,fusion,trimmed_gap10,guarded_fusion_gap15,0,36,-0.03817444194870075,1.305622276959184e-13,27.77777777777778
data1,fusion,trimmed_gap15,bounded_tracking_gap10,0,36,0.20164638626424702,0.04441103534273205,50.0
data1,fusion,trimmed_gap15,bounded_tracking_gap15,0,36,0.20164638626426748,0.044411035342774685,50.0
data1,fusion,trimmed_gap15,guarded_fusion_gap10,0,36,-0.03817444194877825,2.220446049250313e-14,27.77777777777778
data1,fusion,trimmed_gap15,guarded_fusion_gap15,0,36,-0.03817444194877825,2.220446049250313e-14,27.77777777777778
data1,fusion,bounded_tracking_gap10,bounded_tracking_gap15,0,37,1.862774199154857e-14,1.0658141036401503e-14,0.0
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap10,0,37,-0.22853207779587034,0.09059053967141928,54.054054054054056
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap15,0,37,-0.22853207779587034,0.09059053967141928,54.054054054054056
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap10,0,37,-0.22853207779588897,0.09059053967140862,54.054054054054056
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap15,0,37,-0.22853207779588897,0.09059053967140862,54.054054054054056
data1,fusion,guarded_fusion_gap10,guarded_fusion_gap15,0,37,0.0,0.0,0.0
data1,pos,trimmed_gap10,trimmed_gap15,0,38,-2.2835534632816377e-14,-1.2434497875801753e-14,0.0
data1,pos,trimmed_gap10,bounded_tracking_gap10,0,38,-0.8036287536360226,-0.7992375797739415,39.473684210526315
