record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
channel,18,baseline/right_cheek_2/pos,right_cheek_2,right_cheek,baseline,pos,eligible,1.0,0.9999999875570078,0.49333333333333335,0.0,False,126.0,0.2040431777519865,12.395213864979269,0.10036879145949308,,,,,,,,,,,
channel,18,baseline/right_cheek_3/chrom,right_cheek_3,right_cheek,baseline,chrom,eligible,1.0,0.9999999867338236,0.24333333333333335,0.0,True,72.0,0.3485581542033213,23.969059817240385,0.11628599334239592,,,,,,,,,,,
channel,18,baseline/right_cheek_3/pos,right_cheek_3,right_cheek,baseline,pos,eligible,1.0,0.9999999867338236,0.24333333333333335,0.0,False,73.0,0.22930601858024133,14.460576748920374,0.10399139251850084,,,,,,,,,,,
channel,18,tracked/forehead_0/chrom,forehead_0,forehead,tracked,chrom,eligible,1.0,0.9999999898489872,0.9366666666666666,0.0,True,59.0,0.3610159068922877,11.173732319743536,0.18694402882251798,,,,,,,,,,,
channel,18,tracked/forehead_0/pos,forehead_0,forehead,tracked,pos,eligible,1.0,0.9999999898489872,0.9366666666666666,0.0,False,75.0,0.22014587458674215,11.042484688543894,0.11464694588055052,,,,,,,,,,,
channel,18,tracked/forehead_1/chrom,forehead_1,forehead,tracked,chrom,eligible,1.0,0.9999999886106313,0.8433333333333334,0.0,False,97.0,0.21947845871735244,10.526964619239877,0.11691506375247723,,,,,,,,,,,
channel,18,tracked/forehead_1/pos,forehead_1,forehead,tracked,pos,eligible,1.0,0.9999999886106313,0.8433333333333334,0.0,True,78.0,0.24458758667886693,10.207262028693918,0.13216627229210132,,,,,,,,,,,
channel,18,tracked/forehead_2/chrom,forehead_2,forehead,tracked,chrom,eligible,1.0,0.9999999907843194,0.9633333333333334,0.0,False,63.0,0.3101234419640072,13.709811790057536,0.14474945728724678,,,,,,,,,,,
channel,18,tracked/forehead_2/pos,forehead_2,forehead,tracked,pos,eligible,1.0,0.9999999907843194,0.9633333333333334,0.0,True,63.0,0.3921647281783265,10.469544958057881,0.20943800806488036,,,,,,,,,,,
channel,18,tracked/forehead_3/chrom,forehead_3,forehead,tracked,chrom,tracking_ineligible,1.0,0.9999999877631319,0.5133333333333333,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/forehead_3/pos,forehead_3,forehead,tracked,pos,tracking_ineligible,1.0,0.9999999877631319,0.5133333333333333,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/left_cheek_0/chrom,left_cheek_0,left_cheek,tracked,chrom,tracking_ineligible,1.0,0.9999999883207312,0.13,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/left_cheek_0/pos,left_cheek_0,left_cheek,tracked,pos,tracking_ineligible,1.0,0.9999999883207312,0.13,0.0,False,,,,,,,,,,,,,,,
channel,18,tracked/left_cheek_1/chrom,left_cheek_1,left_cheek,tracked,chrom,eligible,1.0,0.9999999878777677,0.6933333333333334,0.0,False,52.0,0.4413335511781528,16.248361608802213,0.1874799922020113,,,,,,,,,,,
channel,18,tracked/left_cheek_1/pos,left_cheek_1,left_cheek,tracked,pos,eligible,1.0,0.9999999878777677,0.6933333333333334,0.0,True,89.0,0.3905124098440575,10.729359432297883,0.2061716227457683,,,,,,,,,,,
