case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
data1,v21/fusion,v21/fusion,baseline,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,38,38,33,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-13.482075499158796,-12.825573806047077,,31.0,7.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.24101062566904,-13.92866915049476,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.20575325481678,-14.125743759424395,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,0,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.241010625668961,-13.928669150494652,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.205753254816706,-14.125743759424301,,34.0,2.0,35.0,fusion proposal provenance
data1,cpace,cpace,primary,own,0,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-44.68520817208398,-43.50125236530716,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace,cpace,primary,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-43.62476085272131,-43.471650014768684,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,own,0,estimated_alignment_Polar_device_HR,42,42,35,35,35,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.844781806777297,-11.85638620364475,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,35,35,33,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.956776447995939,-11.900827397916444,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,0,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.779383683231265,-13.261848646232021,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,0,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.45667984363015,-13.130233933321502,,,,,not a comparable multi-ROI overlap-fusion generation metric
