case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
data1,v21/fusion,v21/fusion,baseline,strict_common_all6,5,estimated_alignment_Polar_device_HR,42,42,38,38,33,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-14.623705441935371,-13.756365489781073,,31.0,7.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-14.455597921187142,-15.029509593934815,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,5,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-14.403286875834667,-15.040291120434212,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,5,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-14.455597921187044,-15.029509593934648,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,5,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-14.403286875834574,-15.040291120434055,,34.0,2.0,35.0,fusion proposal provenance
data1,cpace,cpace,primary,own,5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-46.246090829301835,-46.13460304648703,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace,cpace,primary,strict_common_all6,5,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-45.289955315367514,-45.88688699229788,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,own,5,estimated_alignment_Polar_device_HR,42,42,35,35,35,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-12.461534142643876,-13.071858568125519,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,strict_common_all6,5,estimated_alignment_Polar_device_HR,42,42,35,35,33,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-12.580444479557917,-13.092684927332884,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-14.273591582988947,-13.22192883037151,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,5,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-14.00062437280438,-13.203425800757799,,,,,not a comparable multi-ROI overlap-fusion generation metric
