case,comparison,before,after,estimator,comparison_role,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,common_delta_MAE_bpm,own_delta_MAE_bpm,delta_C_out_pct,delta_R5_all_reference_pct,added_Nwithin5,lost_Nwithin5,common_Nwithin5_delta
ubfc,trimmed_gap15/fusion/local_peak->cpace/local_peak,trimmed_gap15/fusion/local_peak,cpace/local_peak,local_peak,primary,paired_UBFC_device_HR,0,40,0,0,-0.0034065743944631244,-0.0034065743944631244,0.0,4.545454545454547,0,0,2
ubfc,trimmed_gap15/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,40,0,0,-0.023837749817179343,-0.023837749817179343,0.0,0.0,0,0,0
ubfc,trimmed_gap15/fusion/local_peak->rhythm/local_peak,trimmed_gap15/fusion/local_peak,rhythm/local_peak,local_peak,primary,paired_UBFC_device_HR,0,36,0,4,-0.4143017159713671,-0.39302738815053884,-9.090909090909093,4.545454545454547,0,4,6
ubfc,trimmed_gap15/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap15/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,36,0,4,-0.38855236090797707,-0.3622668478706892,-9.090909090909093,0.0,0,4,4
ubfc,trimmed_gap15/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap15/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.04659342560553714,0.04659342560553714,0.0,2.2727272727272805,0,0,1
ubfc,trimmed_gap15/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap15/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.12831833910034618,0.12831833910034618,0.0,-4.545454545454547,0,0,-2
ubfc,cpace/local_peak->rhythm/local_peak,cpace/local_peak,rhythm/local_peak,local_peak,primary,paired_UBFC_device_HR,0,36,0,4,-0.43829441108863065,-0.3896208137560757,-9.090909090909093,0.0,0,4,4
ubfc,cpace/offline_ridge->rhythm/offline_ridge,cpace/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,36,0,4,-0.41762152777777795,-0.33842909805350985,-9.090909090909093,0.0,0,4,4
ubfc,cpace/local_peak->cpace_no_homodyne/local_peak,cpace/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.050000000000000266,0.050000000000000266,0.0,-2.2727272727272663,0,0,-1
ubfc,cpace/offline_ridge->cpace_no_homodyne/offline_ridge,cpace/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.15215608891752552,0.15215608891752552,0.0,-4.545454545454547,0,0,-2
ubfc,rhythm/local_peak->cpace_no_homodyne/local_peak,rhythm/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,paired_UBFC_device_HR,0,36,4,0,0.493849966644186,0.439620813756076,9.090909090909093,-2.2727272727272663,4,0,-5
ubfc,rhythm/offline_ridge->cpace_no_homodyne/offline_ridge,rhythm/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,paired_UBFC_device_HR,0,36,4,0,0.586683848797251,0.49058518697103537,9.090909090909093,-4.545454545454547,4,0,-6
kaggle_full,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,primary,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,primary,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/local_peak->cpace/local_peak,v21/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/offline_ridge->cpace/offline_ridge,v21/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/local_peak->rhythm/local_peak,v21/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,321,93,2,,,21.718377088305502,,0,0,0
kaggle_full,v21/fusion/offline_ridge->rhythm/offline_ridge,v21/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,321,93,2,,,21.718377088305502,,0,0,0
kaggle_full,v21/fusion/local_peak->cpace_no_homodyne/local_peak,v21/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,312,93,11,,,19.570405727923628,,0,0,0
kaggle_full,v21/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,v21/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,none,0,312,93,11,,,19.570405727923628,,0,0,0
kaggle_full,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,none,0,416,0,0,,,0.0,,0,0,0
kaggle_full,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,none,0,416,0,0,,,0.0,,0,0,0
kaggle_full,trimmed_gap10/fusion/local_peak->cpace/local_peak,trimmed_gap10/fusion/local_peak,cpace/local_peak,local_peak,primary,none,0,416,0,0,,,0.0,,0,0,0
kaggle_full,trimmed_gap10/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,none,0,416,0,0,,,0.0,,0,0,0
kaggle_full,trimmed_gap10/fusion/local_peak->rhythm/local_peak,trimmed_gap10/fusion/local_peak,rhythm/local_peak,local_peak,primary,none,0,414,0,2,,,-0.4773269689737418,,0,0,0
kaggle_full,trimmed_gap10/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap10/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,none,0,414,0,2,,,-0.4773269689737418,,0,0,0
kaggle_full,trimmed_gap10/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap10/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,none,0,405,0,11,,,-2.6252983293556156,,0,0,0
