case,branch,system,role,estimator,Nplanned,Noutput,output_runs,internal_breaks,output_state_transitions,longest_run_windows,longest_run_center_span_s,longest_run_support_union_s,output_support_union_s,longest_rejected_run_windows,longest_run_first_window_index,longest_run_last_window_index
synthetic72,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,cpace/local_peak,cpace,primary,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,cpace/offline_ridge,cpace,primary,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,rhythm/local_peak,rhythm,primary,local_peak,11,3,1,0,2,3,2.0,12.0,12.0,6,2,4
synthetic72,rhythm/offline_ridge,rhythm,primary,offline_ridge,11,3,1,0,2,3,2.0,12.0,12.0,6,2,4
synthetic72,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
data1,v21/fusion/local_peak,v21/fusion,baseline,local_peak,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
data1,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
data1,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
data1,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
data1,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
data1,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40
data1,cpace/local_peak,cpace,primary,local_peak,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
data1,cpace/offline_ridge,cpace,primary,offline_ridge,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
data1,rhythm/local_peak,rhythm,primary,local_peak,42,35,1,0,2,35,33.999966,43.999956,43.999956,4,3,37
data1,rhythm/offline_ridge,rhythm,primary,offline_ridge,42,35,1,0,2,35,33.999966,43.999956,43.999956,4,3,37
data1,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
data1,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40
