case,branch,system,role,estimator,reference_kind,shift_s,scope,Ncommon_output,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
ubfc,rhythm/local_peak,rhythm,primary,local_peak,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.3727557430656443,2.990855486479677,-0.6588458225449147,2.958769020253163,-6.458033102241114,5.140341457151285,5.139934678279413,5.557363013698634,33,36,91.66666666666667,100.0,75.0,81.81818181818181
ubfc,rhythm/local_peak,rhythm,primary,local_peak,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.3727557430656443,2.990855486479677,-0.6588458225449147,2.958769020253163,-6.458033102241114,5.140341457151285,5.139934678279413,5.557363013698634,33,36,91.66666666666667,100.0,75.0,81.81818181818181
ubfc,rhythm/offline_ridge,rhythm,primary,offline_ridge,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.1986169502936344,2.64727985346396,-0.4921791558782481,2.6380220449566543,-5.66270236399329,4.678344052236794,4.348824306281198,4.557363013698634,36,36,100.0,100.0,81.81818181818181,81.81818181818181
ubfc,rhythm/offline_ridge,rhythm,primary,offline_ridge,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.1986169502936344,2.64727985346396,-0.4921791558782481,2.6380220449566543,-5.66270236399329,4.678344052236794,4.348824306281198,4.557363013698634,36,36,100.0,100.0,81.81818181818181,81.81818181818181
ubfc,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.8666057097098303,3.753307767573005,-0.4088458225449148,3.783897893874635,-7.8252856945391995,7.007594049449369,7.353090882524835,8.071924398625427,28,36,77.77777777777777,100.0,63.63636363636363,81.81818181818181
ubfc,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.7853007990908853,3.4351829957626854,-0.4088458225449148,3.459148462842628,-7.188776809716466,6.371085164626636,5.698108698246024,6.071924398625427,30,36,83.33333333333333,100.0,68.18181818181819,81.81818181818181
kaggle_full,v21/fusion/local_peak,v21/fusion,baseline,local_peak,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,v21/fusion/local_peak,v21/fusion,baseline,local_peak,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,cpace/local_peak,cpace,primary,local_peak,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,cpace/local_peak,cpace,primary,local_peak,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,cpace/offline_ridge,cpace,primary,offline_ridge,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,cpace/offline_ridge,cpace,primary,offline_ridge,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,rhythm/local_peak,rhythm,primary,local_peak,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,rhythm/local_peak,rhythm,primary,local_peak,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,rhythm/offline_ridge,rhythm,primary,offline_ridge,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,rhythm/offline_ridge,rhythm,primary,offline_ridge,none,0,strict_common_primary10,321,419,321,0,0,76.6109785202864,,,,,,,,,,0,0,,,,
kaggle_full,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
kaggle_full,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,none,0,strict_common_all12,311,419,311,0,0,74.22434367541766,,,,,,,,,,0,0,,,,
