branch,roi,segment_id,start_frame,stop_frame_exclusive,status,window,finite_samples,minimum_weight,maximum_weight
baseline,right_cheek,0,1290,1590,cdf_applied,True,300,0.0,0.4469545860761638
baseline,right_cheek,0,1320,1620,cdf_applied,True,300,0.0,0.5184459201518106
baseline,right_cheek,0,1350,1650,cdf_applied,True,300,0.0,0.43548212669387243
baseline,right_cheek,0,1380,1680,cdf_applied,True,300,0.0,0.5195745369415219
baseline,right_cheek,0,1410,1710,cdf_applied,True,300,0.0,0.4486276192146464
baseline,right_cheek,0,1440,1740,cdf_applied,True,300,0.0,0.5376464939840486
baseline,right_cheek,0,1470,1770,cdf_applied,True,300,0.0,0.38544165266542946
baseline,right_cheek,0,1500,1800,cdf_applied,True,300,0.0,0.7463174639906685
baseline,right_cheek,0,1530,1830,cdf_applied,True,300,0.0,0.7509982466473066
baseline,right_cheek,0,1560,1860,cdf_applied,True,300,0.0,0.6306597752789673
tracked,forehead,0,0,300,cdf_applied,True,300,0.0,0.45891290118901984
tracked,forehead,0,30,330,cdf_applied,True,300,0.0,0.6255586722275631
tracked,forehead,0,60,360,cdf_applied,True,300,0.0,0.4132719622209259
tracked,forehead,0,90,390,cdf_applied,True,300,0.0,0.3419411753770129
tracked,forehead,0,120,420,cdf_applied,True,300,0.0,0.30361688382302116
tracked,forehead,0,150,450,cdf_applied,True,300,0.0,0.38539914578035006
tracked,forehead,0,180,480,cdf_applied,True,300,0.0,0.43921947263005684
tracked,forehead,0,210,510,cdf_applied,True,300,0.0,0.4119540864810636
tracked,forehead,0,240,540,cdf_applied,True,300,0.0,0.343667287522465
tracked,forehead,0,270,570,cdf_applied,True,300,0.0,0.3506359549337831
tracked,forehead,0,300,600,cdf_applied,True,300,0.0,0.3536508893907613
tracked,forehead,0,330,630,cdf_applied,True,300,0.0,0.3739372511693472
tracked,forehead,0,360,660,cdf_applied,True,300,0.0,0.48992010280570936
tracked,forehead,0,390,690,cdf_applied,True,300,0.0,0.2221101485656322
tracked,forehead,0,420,720,cdf_applied,True,300,0.0,0.08199213623634602
tracked,forehead,0,450,750,cdf_applied,True,300,0.0,0.8805670555663841
tracked,forehead,0,480,780,cdf_applied,True,300,0.0,0.26746160591287965
tracked,forehead,0,510,810,cdf_applied,True,300,0.0,0.22431634983402693
tracked,forehead,0,540,840,cdf_applied,True,300,0.0,0.23116942636612028
tracked,forehead,0,570,870,cdf_applied,True,300,0.0,0.2523399248889799
tracked,forehead,0,600,900,cdf_applied,True,300,0.0,0.28625551577604624
tracked,forehead,0,630,930,cdf_applied,True,300,0.0,0.33863465666349135
tracked,forehead,0,660,960,cdf_applied,True,300,0.0,0.33313724484229684
tracked,forehead,0,690,990,cdf_applied,True,300,0.0,0.16358265300985247
tracked,forehead,0,720,1020,cdf_applied,True,300,0.0,0.27417703214575206
